epoch,train_loss,val_loss,train_mean_ang,train_median_ang,train_p95_ang,train_p99_ang,train_max_ang,train_var_ang,val_mean_ang,val_median_ang,val_p95_ang,val_p99_ang,val_max_ang,val_var_ang
38,0.005145755577832461,0.0028656565894683204,5.0995,4.707775,10.561777,12.287938,14.954742,7.727174,3.3642163,2.3700044,8.60522,13.075835,13.4922905,8.2341175
39,0.004952635765075684,0.0032115112990140915,5.03861,4.614691,9.608169,11.83425,15.98499,7.230558,3.757698,2.9890754,9.231536,12.0717945,12.204145,8.044716
40,0.005038372315466404,0.002956890811522802,5.022072,4.593802,10.801731,13.1830435,17.68236,7.9362936,3.4825766,2.4140368,10.04389,11.943303,12.087849,8.231146
41,0.004472373658791185,0.0029948422064383826,4.8072147,4.642917,9.407053,11.429376,13.459713,6.3705235,3.6754227,2.850379,9.979469,12.643265,13.600198,7.5674157
42,0.004646423133090138,0.002938271810611089,4.852062,4.3895884,10.1292925,11.868856,12.654369,7.095745,3.3379345,2.2844763,9.636669,11.720055,13.996045,8.649704
43,0.004640655368566513,0.002506360411643982,4.8004346,4.3718834,9.600302,12.905581,22.25374,7.5182366,3.1067257,2.165162,8.142974,12.029203,13.170813,7.549709
44,0.004875687602907419,0.0026734676212072372,4.96798,4.523116,9.840094,13.982188,16.972265,7.406924,3.245756,2.181058,8.159834,11.903872,11.956781,7.64979
45,0.004101694822311402,0.0028675763557354608,4.497711,4.128724,9.563363,12.02614,13.690499,6.7298083,3.462935,2.9905667,8.832111,12.244147,12.435904,7.5617757
46,0.004104704502969981,0.0024534414211908975,4.524994,4.169881,8.992159,11.53876,18.645487,6.501471,3.0237308,2.0427084,7.719941,11.662423,12.447126,7.081292
47,0.004124023141339421,0.0029528879870971045,4.6226363,4.1126604,8.851209,11.411193,13.386805,5.8328614,3.2859447,2.2375083,10.567178,12.435595,13.371041,8.999907
48,0.004231930673122406,0.003030046820640564,4.5851703,4.284686,9.275512,11.697044,19.909058,6.7659545,3.3396094,2.3478742,10.5364485,11.960955,13.052258,8.64895
49,0.003683775961399078,0.0027507375925779343,4.385057,4.1262565,8.275837,11.153021,12.795827,4.950839,3.2740443,2.4158826,9.186095,11.763631,12.090458,7.4509635
50,0.004320583660155535,0.0028597675263881683,4.6097827,4.166686,9.308602,12.815994,16.918646,7.1260777,3.3750541,2.2762547,7.9823837,11.762666,13.078287,7.3058734
51,0.0036836208030581476,0.00265496534605821,4.326871,3.9636824,8.536686,10.510932,12.331759,5.468379,3.2621162,2.3073063,6.5167665,12.060787,12.287965,6.7701626
52,0.004349317383021117,0.00295234906176726,4.6733546,4.2676477,9.473391,12.123212,15.387556,6.7802563,3.307404,2.5682182,8.572063,11.895595,13.42516,7.761511
53,0.004006330501288176,0.0026402932902177176,4.534005,4.2776403,8.855106,11.092837,15.49563,5.7995315,3.3041523,2.6002293,7.662168,11.974121,12.298054,7.0153756
54,0.003641226477921009,0.002786383032798767,4.281157,3.8716102,8.945222,10.895278,12.350214,5.619153,3.2625337,2.1417058,8.968029,12.175691,12.926316,7.852249
55,0.0037377365678548814,0.002838547651966413,4.348873,3.77429,8.657601,11.140492,15.821523,5.7037096,3.4575458,2.8106833,8.246403,12.147722,13.153175,6.750289
56,0.003964801523834467,0.0030607134103775024,4.5065384,4.255791,8.724441,11.328585,16.033606,5.7248616,3.3418913,2.2675657,11.56252,12.379493,12.511685,9.91849
57,0.003690626244060695,0.002902260050177574,4.329134,3.9235601,8.641482,11.55803,13.115196,5.610664,3.5299969,2.7935815,9.114276,12.843622,13.233541,7.489501
58,0.003431721767410636,0.002701554447412491,4.2529325,4.1402817,7.9080353,10.143183,10.98686,4.495025,3.3411262,2.628405,8.07016,11.928478,14.096274,7.0637717
59,0.003961344659328461,0.002671377112468084,4.4507585,4.2164,9.231234,10.947071,14.584639,6.227735,3.213639,2.6684613,8.670562,13.227685,13.938247,7.7750726
60,0.003073173426091671,0.0028124538560708365,3.8999667,3.6269302,7.866974,10.175238,13.282577,5.007386,3.4105473,2.652151,8.158541,12.870975,13.87923,7.146017
61,0.0034461588598787784,0.0025323660423358283,4.1289277,3.6750898,8.699948,11.742978,12.974759,5.559003,3.0219607,2.0787172,9.264776,12.271473,13.53924,7.777016
62,0.0033053892850875856,0.0027539152652025223,4.056945,3.752959,8.303557,10.408734,14.366921,5.3334894,3.267371,2.258193,8.289085,11.8954735,12.827861,7.758372
63,0.0035303061548620463,0.0027365063627560935,4.167726,3.647924,9.122442,11.139066,12.313212,5.8253865,3.2466583,2.412397,7.7624207,12.439196,13.0819845,7.703394
64,0.0030712854024022816,0.0028384694208701453,3.9423146,3.69581,7.9680343,10.087694,14.777024,4.667093,3.264389,2.1632752,8.398434,12.737728,14.155717,7.808839
65,0.0028534334897994994,0.002728345493475596,3.801224,3.582389,7.5933304,9.966397,11.741785,4.3217936,3.1771839,1.9684434,8.571547,12.225437,14.179158,7.837752
66,0.00298627367708832,0.0029134160528580346,3.8617435,3.6242301,7.7005897,9.750757,15.301127,4.771727,3.4923909,2.350206,7.790535,12.223537,13.077986,6.9014034
67,0.0030778581742197273,0.0027219311644633612,3.8898256,3.5652406,8.050865,9.845195,20.427105,5.124424,3.2317352,2.100136,8.121366,12.263688,13.277032,7.658474
68,0.003178751990199089,0.003002385919292768,3.9989758,3.6524298,7.905587,10.078099,15.512239,4.8814254,3.3444316,2.4251773,11.577273,12.169683,12.704111,8.6987095
69,0.002874540165066719,0.002593930810689926,3.8076844,3.59205,7.431206,9.45701,12.254141,4.350254,3.108189,2.0704637,7.993565,12.411038,14.279594,8.043719
70,0.00289412728510797,0.002758637691537539,3.849279,3.5679307,7.471606,9.41263,11.37056,4.212678,3.2874546,2.6572614,9.760257,12.151199,12.600161,8.27166
71,0.002802693317644298,0.0025468263775110245,3.78638,3.5484512,7.3310165,9.032255,12.3536625,4.1297636,3.1147537,2.248301,8.438008,12.701906,12.716544,7.455016
72,0.0025963263865560293,0.0026262408743302026,3.6238518,3.3885336,7.518954,8.833753,10.929496,3.9329484,3.2344902,2.2551923,7.630021,11.650697,14.560817,7.076666
73,0.0026790297497063876,0.002586944028735161,3.6211703,3.3214834,7.5956955,10.679225,14.132391,4.4782686,3.124058,2.4058905,7.6680017,11.924684,14.1923275,7.48379
74,0.0028779644845053553,0.0026450796673695245,3.7815464,3.475812,7.7118874,10.622856,12.517737,4.6841984,3.2388172,2.9008565,8.178312,12.397496,13.327245,7.1383877
75,0.002687592590227723,0.0027406743417183557,3.5995023,3.1560388,7.6488733,10.1168995,12.34373,4.736246,3.2772686,2.4288354,9.670591,12.084079,13.261602,7.8135295
76,0.002369172442704439,0.0023032880077759423,3.4521472,3.354563,7.5057635,8.303036,11.21533,3.622598,2.923731,2.1061609,7.2930164,12.013434,13.533753,6.6272445
77,0.0028100053872913123,0.002281965066989263,3.7337272,3.3730714,7.4206734,10.32507,17.21665,4.5286183,2.9484448,2.1111789,7.331301,11.759985,14.217781,6.9982677
78,0.0025438243290409447,0.00233519139389197,3.5584533,3.3203633,7.0261855,9.73578,14.011782,4.130009,3.007098,2.09197,6.6951537,11.843456,12.459605,6.704624
79,0.002473500035703182,0.002428897346059481,3.509242,3.364121,7.3050413,9.181494,14.215542,3.8858397,3.1869893,2.4024646,6.9377565,12.401705,13.428852,6.7747355
80,0.002567779356613755,0.00247462031741937,3.5989537,3.3615594,7.0286856,10.197622,11.135191,3.926561,3.0400681,2.0610409,7.7682433,12.596312,13.45581,7.83346
81,0.0028954842872917653,0.0023836766680081687,3.8002794,3.4319365,7.9551477,9.480371,10.739128,4.5214734,3.003558,1.8878183,8.729291,12.291181,12.779333,7.7403703
82,0.0025145198591053487,0.0023188150177399316,3.5648959,3.4116817,7.129682,9.526881,12.510109,3.8106947,3.0872662,2.2408156,8.433271,11.87066,12.668828,6.74802
83,0.0021644552052021027,0.0023207180202007294,3.3084056,2.9930363,7.0154595,7.7736516,11.958958,3.3250544,2.941562,1.9482296,8.283059,11.683785,13.044619,7.5357485
84,0.0024456374533474447,0.0024433707197507224,3.4770286,3.175703,7.0520377,8.994623,10.494076,3.9882019,2.940664,1.4441304,8.740706,11.56146,13.106796,7.8667336
85,0.0024116225447505715,0.0023397660503784814,3.446459,2.9371831,7.3222485,9.232099,10.305113,3.9473789,2.9955552,2.1014092,7.86957,12.374683,13.713612,7.097065
86,0.0022371417563408613,0.002354966476559639,3.329855,3.0299587,6.980094,8.996834,13.982923,3.6293838,2.90336,1.8537912,7.6356106,12.5655575,13.76025,7.533023
87,0.0023666058387607335,0.0025849814216295877,3.430399,3.1388717,6.8592734,9.978085,12.066728,3.8288765,3.1407104,2.3585181,7.924107,12.460621,13.9227,7.5621924
88,0.0023664020746946334,0.0022837072610855103,3.4227743,3.1328788,6.9134855,9.687061,11.744806,3.8475106,2.8464394,1.8308944,7.174755,12.329267,13.692822,7.4852185
89,0.0021847692038863896,0.0024590895821650824,3.3686886,3.1090426,6.549234,7.818865,10.027425,3.0093603,3.0034504,1.9110193,9.308797,12.179736,13.242622,8.006124
90,0.002118658102117479,0.0023287969330946603,3.2095802,2.8162634,6.8272414,8.354464,10.673427,3.666781,2.9067547,1.8017458,7.9669247,12.166159,14.205525,7.5813713
91,0.0025291336607187985,0.0023791566491127014,3.5094156,3.077271,7.23816,9.82674,11.941408,4.3199453,3.061909,2.0262213,8.025015,12.525889,13.539094,7.293087
92,0.002110429676249623,0.002240325634678205,3.228334,2.8386252,6.7554045,8.207131,12.802363,3.4386392,2.8117473,1.8216345,8.333068,12.066988,13.183172,7.4696846
93,0.002240352872759104,0.0023123243202765784,3.3640752,3.1578372,6.582358,8.381453,11.71926,3.4365108,2.9831545,1.9234986,7.7781415,12.218989,12.580687,7.1931973
94,0.0016951731219887734,0.0021003919343153634,2.9678633,2.7827704,5.947096,6.95773,7.7002335,2.3360848,2.7257702,1.8450538,7.5056953,12.036718,12.41187,7.018323
95,0.002238505622372031,0.0022775555650393167,3.3033147,3.0180473,6.928196,8.499623,14.085445,3.8507004,2.8922834,2.0863633,7.197514,12.095521,12.159818,6.8218427
96,0.0020488656032830476,0.002239534010489782,3.1394763,2.787339,7.13776,8.806359,10.617431,3.6083488,2.8100102,1.5801625,7.55976,12.556298,12.740336,7.4245963
97,0.0019971365574747322,0.0023235672463973365,3.1115022,2.7831926,6.692721,7.954871,9.742634,3.486494,2.9129977,1.9678758,8.107904,11.349259,13.666903,7.1568413
98,0.0019412555731832982,0.0022744288047154746,3.0937302,2.779533,6.714639,8.86885,10.151292,3.1768434,2.8468378,1.9869131,7.8699074,11.733266,13.3447895,7.107311
99,0.002190487198531628,0.002443427840868632,3.209321,2.811463,6.8522053,8.263781,16.41344,4.0677657,2.9558728,1.7883649,8.931244,12.287434,13.575952,7.7286763
100,0.0019567546620965002,0.002840392912427584,3.1268258,2.8189728,6.352311,7.959269,9.612882,3.0932596,3.407043,2.4614592,8.638852,11.419328,14.572916,7.6520205
101,0.0022608216386288404,0.002281737824281057,3.348219,3.0316381,7.0812716,8.540856,11.376447,3.6296132,2.8628464,1.842179,7.5510635,12.1094885,13.456588,7.1957703
102,0.0019907171186059713,0.002330205092827479,3.1710346,2.9350495,6.4195733,7.9767857,9.663224,2.9931915,2.9419541,1.8252969,7.768436,12.77799,13.177451,7.5693946
103,0.0020631569530814887,0.002354048192501068,3.1139066,2.7853017,6.9084916,9.248722,12.05586,3.8254519,2.8922894,1.9184494,8.958922,12.7315,12.769232,7.9276195
104,0.0019617837574332953,0.002410017574826876,3.0950408,2.8116024,6.357794,8.931608,11.18192,3.3335907,2.8663402,1.6662997,9.278578,11.819612,14.385008,8.5624895
105,0.0019496816210448741,0.002324827636281649,3.074642,2.7159884,6.4872565,9.071638,9.705916,3.2914777,2.8741903,1.8489156,8.279131,12.560764,14.72071,7.8733115
106,0.0016569410543888807,0.0023121566822131476,2.8817022,2.6635187,5.934812,7.0375786,9.993358,2.5444922,2.8281827,1.8746003,7.736261,12.354813,14.928477,7.4312367
107,0.001811627708375454,0.002377546081940333,2.988259,2.7120938,6.001308,8.171089,10.28765,2.8581748,2.9869928,1.9610256,8.759313,12.254328,14.553358,7.408445
108,0.0019490947760641576,0.0022969208657741547,3.0881867,2.8250768,6.495038,7.6132565,12.531501,3.2571063,2.916667,2.1185944,8.694555,12.867767,14.10512,7.292515
109,0.0020105121843516827,0.0022141082833210626,3.1130278,2.8464758,6.7530494,8.857956,10.074896,3.3810697,2.931039,2.1259482,8.140566,12.0454,15.135705,6.735178
110,0.0017337902029976248,0.002386445179581642,2.9549208,2.7215323,6.1116085,7.420464,8.409406,2.6675773,2.9003386,1.7051313,8.295969,11.708108,15.691962,7.7004075
111,0.002017099251970649,0.0022667410473028817,3.1007607,2.8200142,6.5884256,9.031575,13.3103,3.6598165,2.9220707,2.2688427,7.714613,12.46304,13.644236,6.9009995
112,0.001863061673939228,0.0021746202061573663,3.0366085,2.8420024,6.058344,8.032526,10.087129,2.950723,2.72688,1.7407222,7.92978,12.285051,14.876328,7.20602
113,0.0017336782161146403,0.0021583990504344306,2.9362876,2.6009052,6.0284038,7.3011827,9.188166,2.792646,2.8190563,1.9045382,7.56028,12.470862,13.379516,7.096555
114,0.0017174142273142935,0.002565694972872734,2.9596753,2.7403831,5.978363,7.4399385,9.112336,2.5366485,3.1941273,2.0109003,8.186433,11.67024,14.582291,7.263798
115,0.0017186957597732544,0.0023472104221582413,2.915266,2.5764823,5.9740114,7.817939,10.243153,2.8042903,2.9858725,2.0776052,7.6685777,11.61878,14.640166,6.741386
116,0.0015190284559503198,0.002477378894885381,2.7120616,2.4648187,5.745554,7.682,11.032031,2.6144116,2.9752216,1.8009142,7.7803273,11.791649,13.919264,7.2620115
117,0.0017092209868133069,0.002432888373732567,2.8253706,2.430755,5.9091625,8.848154,12.396258,3.253075,2.914026,1.8483262,8.380716,12.361688,14.589601,7.6230736
118,0.001512124864384532,0.002479164550701777,2.6525688,2.3294415,5.8471603,8.488441,10.405655,2.8817928,2.9523964,2.162148,8.154656,13.555475,14.415233,7.9024673
119,0.0015090173156931995,0.002581961452960968,2.7022924,2.492693,5.7288003,7.4659986,8.494424,2.625385,3.0821528,2.095685,8.200447,12.542999,15.11885,7.904336
120,0.0017363634891808034,0.0024806372821331024,2.9255753,2.6759098,5.8296714,8.19622,8.66814,2.798043,2.9427798,2.0498095,7.4966874,12.3069515,15.79014,7.5344543
121,0.0014933822583407164,0.002391824498772621,2.696669,2.4667237,5.2682376,8.8677635,9.693512,2.5601935,2.864272,2.0000243,8.222722,12.136219,15.358675,7.6063037
122,0.0015798295941203834,0.002444641664624214,2.8161833,2.5395238,5.5343375,7.518001,9.658401,2.4145148,2.9449568,1.7440163,7.930658,12.243,14.973999,7.5529366
123,0.0015427732467651366,0.0022021587938070297,2.731531,2.4789925,5.7888904,7.923853,11.821817,2.5976033,2.83626,2.034466,8.182612,13.129647,14.551374,7.196841
124,0.0014466647803783417,0.0022804352144400277,2.6593206,2.5165284,5.594991,6.8593154,8.732663,2.4454944,2.8098066,1.7889962,8.219542,12.712421,15.662554,7.392226
125,0.001507740686647594,0.0022693276405334473,2.7165542,2.5190938,5.643308,7.459869,9.055035,2.5430853,2.8829372,2.0208473,7.6692343,12.83002,15.184482,7.14007
126,0.001652545128017664,0.0021640025079250336,2.8508623,2.542682,5.684971,8.053448,9.886403,2.7208679,2.8399363,2.0470548,7.412747,13.389394,13.881891,6.873649
127,0.001619756007567048,0.0022784359753131866,2.8297112,2.5993996,5.925015,8.188638,9.97567,2.6622958,2.8532174,1.994681,8.30969,12.825124,13.911795,7.505895
128,0.0013901302590966225,0.002353651449084282,2.6093025,2.400451,5.670924,7.3158183,9.492725,2.3282788,2.978242,2.1561136,7.9215636,12.52915,14.348219,7.11266
129,0.001538784597069025,0.002370661124587059,2.7205436,2.464898,5.6830926,8.1047325,8.6661005,2.683633,3.0642457,2.3153028,7.6840463,11.473829,14.809553,6.3547945
130,0.0014015728048980237,0.002402564510703087,2.575261,2.3746276,5.7223225,8.0116205,11.837492,2.5632946,3.1502213,2.5250301,8.286686,12.711212,13.8054905,6.535484
131,0.0012533245189115406,0.0023072691013415656,2.4452574,2.2030928,5.2198253,6.57488,9.271311,2.2627852,2.9809597,1.895788,7.6925526,11.645481,14.980964,6.7155275
132,0.0015439611347392202,0.0021578085919221244,2.6820903,2.4678345,5.8093963,9.123473,12.691449,2.9534526,2.8310587,1.9440416,7.860323,11.905358,14.59967,6.5762024
133,0.0014260661602020263,0.0021260318656762442,2.6819792,2.4428034,5.3055544,7.2734766,9.157917,2.1734092,2.7097175,1.6016395,7.933387,12.170105,14.312081,6.9447775
134,0.0012978031113743782,0.002163366104165713,2.4850934,2.2838764,5.273831,7.1387434,14.577108,2.3400333,2.7816691,1.6683948,8.219227,11.538903,14.852952,7.299819
135,0.0013243829784914851,0.002226062739888827,2.5295188,2.2421029,5.1477513,6.3293076,11.2728815,2.2963886,2.7660356,1.7913806,7.463015,12.571199,15.425787,7.4766207
136,0.0013587066670879722,0.0022612071285645166,2.5850933,2.2993355,5.5767527,7.0208774,8.354892,2.2598145,2.8431253,1.7140815,8.772613,11.58744,15.070459,7.6316
137,0.0012095678667537867,0.002222631126642227,2.4018362,2.0478442,5.1732297,7.1285143,9.082789,2.1930416,2.7957916,1.7099144,8.359213,11.899631,14.447189,7.313048
138,0.0013363816123455764,0.0022224498291810355,2.4958992,2.2226393,5.7288275,7.044061,9.884811,2.5110865,2.934122,1.9155568,7.9317694,12.803727,14.533202,7.0364337
139,0.0012073063850402833,0.002099091187119484,2.4185796,2.1314807,4.9085937,6.522524,9.454548,2.0739021,2.6801493,1.5387397,7.8891234,12.435534,15.192511,7.4102435
140,0.001393388614524156,0.002157858262459437,2.6321201,2.460845,5.146821,7.0135503,9.422101,2.2492537,2.7814422,1.6751962,7.899788,12.074083,15.82235,7.371009
141,0.0012355407513678074,0.0025012039889891944,2.4598763,2.1966872,5.098789,7.0234504,8.573521,2.0803316,3.0948584,2.2546782,8.210266,12.147164,15.74604,7.659446
142,0.0010939050745218991,0.0021916708598534265,2.357835,2.259927,4.6329045,6.0363207,8.6352215,1.6295308,2.7957432,1.7918968,7.9189234,12.477755,15.417374,7.075244
143,0.0012231097440235316,0.0023028478026390076,2.396633,2.1219099,5.2464437,7.570611,11.008593,2.3115935,2.8190603,1.8012612,8.153268,11.774275,16.091862,7.6753316
144,0.0012059204513207079,0.0021993195017178855,2.4451885,2.2686572,5.1351695,6.774207,7.3210764,1.9298041,2.8799915,2.1062007,9.130313,12.336947,14.956794,7.233365
145,0.001043299324810505,0.0020997989922761917,2.2310374,1.9797168,4.7907867,6.457285,7.947273,1.821132,2.7298388,1.7260661,7.61571,12.114294,14.517803,7.288169
146,0.001162427756935358,0.0021398154397805533,2.395041,2.1211717,4.8111825,6.8339715,8.307186,1.8913405,2.812096,1.8524613,8.11444,12.3797035,15.003683,7.0567145
147,0.001194835202768445,0.0024043197433153787,2.4183333,2.1484916,5.2077646,6.4804764,8.326216,2.0167503,2.877721,1.8310962,7.837872,10.868252,16.478027,7.6335697
148,0.0011169159412384034,0.00221454290052255,2.2761953,1.9909545,4.8704376,6.220797,10.8411,2.1491637,2.781914,1.7981129,8.217065,10.879743,14.708032,6.890519
149,0.0011688099475577474,0.0021407343447208405,2.3111491,1.9894794,5.3830047,7.2959366,11.07295,2.3640902,2.7056046,1.6030257,7.832465,11.509518,14.8596,7.2620144
150,0.001041472463402897,0.0021869204938411713,2.2354755,1.93856,4.8742,6.485584,7.300304,1.8568164,2.7693849,1.8652561,8.745519,12.022813,14.740118,6.9765015
151,0.001154447072185576,0.0022926200181245804,2.34589,2.089097,5.2604775,6.383446,7.8160505,2.1024592,2.8550365,1.8904395,7.727738,12.456337,15.27696,7.345716
152,0.0009332461084704846,0.002336779609322548,2.1823378,2.0161564,4.402238,5.7789426,6.7062173,1.3910879,2.87021,1.9346792,8.075159,12.054096,15.526893,7.381156
153,0.0011398880649358034,0.0022441850354274115,2.3511503,2.111925,5.2204227,6.710574,7.6847477,1.9482591,2.7409718,1.6025033,7.2849984,12.4294,14.521058,7.767733
154,0.0011874172906391322,0.002136971801519394,2.384774,2.1458483,4.996399,7.0772247,9.336246,2.1396239,2.728976,1.7700648,8.774857,12.092766,13.880596,7.1938896
155,0.0013903319952078164,0.002455302824576696,2.5629406,2.1864169,5.8034406,7.9732904,9.389042,2.5936375,3.030286,2.0560544,8.598072,11.98994,14.919965,7.8338113
156,0.0009675909858196974,0.0023364474376042685,2.1456444,1.8901017,4.4544244,6.629471,8.912794,1.7005004,2.9848976,2.243381,8.302462,11.74607,15.481641,7.2581244
157,0.0010379214258864522,0.0023411388198534646,2.236077,1.9713953,4.7481537,6.4909234,7.4271894,1.8199883,2.9863772,2.2754936,8.319108,12.682994,14.432932,7.180269
158,0.0010498020169325173,0.002356903627514839,2.284318,2.1344168,4.910136,6.043271,6.4333086,1.689259,2.8900006,1.8830421,8.693107,12.380759,14.819504,8.144259
159,0.0010324641375336796,0.00216477798918883,2.2002623,1.9755604,5.017647,6.47851,7.097713,1.9713942,2.7166054,1.6652453,8.3473,12.1825695,14.449161,7.554643
